date,open,high,low,close,volume
2016-06-02 00:00:00+05:30,14350.0,14566.45,14196.0,14270.45,10619
2016-06-03 00:00:00+05:30,14271.0,14449.3,14017.8,14105.7,9243
2016-06-06 00:00:00+05:30,14184.0,14184.0,13829.85,13940.1,10740
2016-06-07 00:00:00+05:30,14000.0,14170.75,13920.05,13973.95,7622
2016-06-08 00:00:00+05:30,13980.0,14014.55,13660.05,13817.8,18951
2016-06-09 00:00:00+05:30,13751.5,14134.0,13751.5,13985.15,4645
2016-06-10 00:00:00+05:30,13970.1,14049.0,13602.35,13687.7,8005
2016-06-13 00:00:00+05:30,13605.0,13784.0,13531.5,13594.0,4641
2016-06-14 00:00:00+05:30,13630.0,13698.0,13420.05,13493.9,3326
2016-06-15 00:00:00+05:30,13540.0,13619.9,13419.9,13472.5,5815
2016-06-16 00:00:00+05:30,13600.0,13897.5,13260.5,13434.45,14065
2016-06-17 00:00:00+05:30,13560.0,13749.95,13451.25,13705.2,6919
2016-06-20 00:00:00+05:30,13680.3,13779.5,13510.15,13686.5,4986
2016-06-21 00:00:00+05:30,13701.0,13740.0,13552.05,13582.45,4941
2016-06-22 00:00:00+05:30,13677.0,13715.95,13406.0,13523.75,9131
2016-06-23 00:00:00+05:30,13707.4,13707.4,13365.0,13490.5,5576
2016-06-24 00:00:00+05:30,13370.0,13673.2,13002.05,13584.8,9837
2016-06-27 00:00:00+05:30,13449.0,13740.0,13449.0,13613.45,6424
2016-06-28 00:00:00+05:30,13660.0,13866.75,13550.05,13799.05,4315
2016-06-29 00:00:00+05:30,13796.6,14033.7,13700.05,13970.55,5669
2016-06-30 00:00:00+05:30,13905.5,14096.1,13810.0,14017.05,9927
2016-07-01 00:00:00+05:30,14017.0,14299.9,13923.55,14059.8,11553
2016-07-04 00:00:00+05:30,14059.75,14087.45,13920.0,13981.7,4922
2016-07-05 00:00:00+05:30,13900.5,13998.0,13720.0,13778.15,5931
2016-07-07 00:00:00+05:30,13800.0,13826.75,13466.0,13519.1,8797
2016-07-08 00:00:00+05:30,13548.0,13548.0,13260.35,13345.35,8256
2016-07-11 00:00:00+05:30,13351.0,13602.45,13310.05,13399.5,12096
2016-07-12 00:00:00+05:30,13490.0,13490.0,13250.0,13301.05,5871
2016-07-13 00:00:00+05:30,13300.0,13325.0,13105.0,13217.0,7052
2016-07-14 00:00:00+05:30,13156.0,13535.5,13118.0,13489.55,6316
2016-07-15 00:00:00+05:30,13490.0,13549.95,13301.9,13446.25,8645
2016-07-18 00:00:00+05:30,13350.5,13559.4,13250.1,13343.5,9818
2016-07-19 00:00:00+05:30,13400.1,13433.2,13294.95,13324.15,5308
2016-07-20 00:00:00+05:30,13324.05,13587.3,13260.7,13540.2,5060
2016-07-21 00:00:00+05:30,13540.3,13780.0,13540.3,13629.2,5994
2016-07-22 00:00:00+05:30,13690.0,13734.95,13476.05,13621.75,2957
2016-07-25 00:00:00+05:30,13647.0,13775.0,13537.4,13638.7,4532
2016-07-26 00:00:00+05:30,13638.7,13694.35,13320.0,13371.95,7057
2016-07-27 00:00:00+05:30,13400.05,13567.9,13377.75,13497.9,6946
2016-07-28 00:00:00+05:30,13497.9,13665.0,13385.0,13572.95,6845
2016-07-29 00:00:00+05:30,13574.35,14408.55,13574.35,14342.2,10700
2016-08-01 00:00:00+05:30,14399.9,15067.0,14380.0,14933.15,22002
2016-08-02 00:00:00+05:30,14985.0,15229.95,14656.05,14742.4,15038
2016-08-03 00:00:00+05:30,14830.0,14830.0,13800.05,13962.35,12734
2016-08-04 00:00:00+05:30,14120.0,14138.0,13273.5,13510.3,14039
2016-08-05 00:00:00+05:30,13516.0,14250.0,13516.0,13899.4,8351
2016-08-08 00:00:00+05:30,14099.95,14344.0,13940.0,14216.85,5861
2016-08-09 00:00:00+05:30,14338.95,14338.95,13901.15,14106.95,5742
2016-08-10 00:00:00+05:30,14250.0,14250.0,13888.0,14004.3,4109
2016-08-11 00:00:00+05:30,13907.1,15199.8,13499.25,14218.65,69007
2016-08-12 00:00:00+05:30,14238.0,14514.7,13955.55,14083.65,9227
2016-08-16 00:00:00+05:30,14097.85,14249.95,13892.0,14061.65,6954
2016-08-17 00:00:00+05:30,14061.0,14396.25,13901.0,14332.2,6771
2016-08-18 00:00:00+05:30,14333.0,14460.45,14105.0,14177.2,6235
2016-08-19 00:00:00+05:30,14177.0,14488.0,14146.45,14329.85,10921
2016-08-22 00:00:00+05:30,14329.05,14460.0,14230.0,14285.0,5104
2016-08-23 00:00:00+05:30,14299.0,14359.95,14169.9,14293.2,8989
2016-08-24 00:00:00+05:30,14300.0,14388.8,14150.5,14233.95,7289
2016-08-25 00:00:00+05:30,14347.7,14347.7,14155.45,14261.45,4812
2016-08-26 00:00:00+05:30,14261.0,14880.0,14161.55,14763.7,10264
2016-08-29 00:00:00+05:30,14771.1,14902.0,14527.65,14652.7,6542
2016-08-30 00:00:00+05:30,14607.0,14880.0,14607.0,14849.55,6184
2016-08-31 00:00:00+05:30,14844.95,15048.0,14737.6,14854.45,6428
2016-09-01 00:00:00+05:30,14919.95,15199.7,14726.05,15117.7,8813
2016-09-02 00:00:00+05:30,15195.0,15326.0,14937.65,15235.35,7798
2016-09-06 00:00:00+05:30,15200.0,15380.0,15110.05,15305.25,5646
2016-09-07 00:00:00+05:30,15225.0,15350.0,15000.0,15121.2,7340
2016-09-08 00:00:00+05:30,14900.1,15198.0,14706.3,14839.75,9609
2016-09-09 00:00:00+05:30,14870.0,14930.0,14653.0,14773.3,5682
2016-09-12 00:00:00+05:30,14800.0,14888.0,14280.0,14437.8,5792
2016-09-14 00:00:00+05:30,14475.4,14900.0,14450.0,14831.9,6075
2016-09-15 00:00:00+05:30,14898.8,14994.95,14440.5,14657.65,7343
2016-09-16 00:00:00+05:30,14600.1,15242.75,14600.1,14875.35,17940
2016-09-19 00:00:00+05:30,14890.0,15250.0,14779.4,15195.25,9110
2016-09-20 00:00:00+05:30,15250.0,15288.8,14923.7,15105.5,10011
2016-09-21 00:00:00+05:30,15240.0,15322.0,15060.0,15181.2,11162
2016-09-22 00:00:00+05:30,15280.0,15410.0,14950.0,15098.45,13513
2016-09-23 00:00:00+05:30,15098.0,15189.95,14881.0,14987.35,10530
2016-09-26 00:00:00+05:30,15100.0,15150.0,14400.5,14885.3,7759
2016-09-27 00:00:00+05:30,14900.0,15038.0,14750.0,14914.3,7232
2016-09-28 00:00:00+05:30,15035.0,15450.0,14800.0,15338.1,9124
2016-09-29 00:00:00+05:30,15338.1,15513.95,14080.5,15014.6,23448
2016-09-30 00:00:00+05:30,15014.0,15536.0,14751.05,15117.65,24191
2016-10-03 00:00:00+05:30,15155.0,15525.2,15110.0,15497.95,16636
2016-10-04 00:00:00+05:30,15342.95,15674.0,15256.3,15571.1,9477
2016-10-05 00:00:00+05:30,15571.0,16002.0,15509.2,15977.05,11594
2016-10-06 00:00:00+05:30,15900.0,16136.8,15622.65,15816.65,13902
2016-10-07 00:00:00+05:30,15815.0,15895.0,15316.2,15382.45,11937
2016-10-10 00:00:00+05:30,15400.05,15813.35,15400.0,15702.05,10879
2016-10-13 00:00:00+05:30,15660.0,15850.0,15433.0,15689.35,14682
2016-10-14 00:00:00+05:30,15700.05,15949.9,15530.0,15599.75,18193
2016-10-17 00:00:00+05:30,15694.2,15880.0,15551.7,15786.3,12485
2016-10-18 00:00:00+05:30,15720.0,16500.0,15712.05,16449.5,20040
2016-10-19 00:00:00+05:30,16445.1,16641.75,15980.35,16103.55,14910
2016-10-20 00:00:00+05:30,16188.55,16419.0,15950.0,16133.65,11456
2016-10-21 00:00:00+05:30,16080.05,16600.0,16005.0,16520.8,12616
2016-10-24 00:00:00+05:30,16537.45,17399.0,16405.05,16847.05,26948
2016-10-25 00:00:00+05:30,16864.0,16952.2,16606.0,16719.2,9009
2016-10-26 00:00:00+05:30,16719.0,16949.0,16565.7,16788.75,11288
2016-10-27 00:00:00+05:30,16788.0,16874.15,16291.0,16378.4,10581
2016-10-28 00:00:00+05:30,16428.4,16576.7,16153.95,16452.85,8991
2016-10-30 00:00:00+05:30,16617.35,16640.0,16258.35,16436.05,624
2016-11-01 00:00:00+05:30,16500.0,16659.75,16260.0,16354.7,6428
2016-11-02 00:00:00+05:30,16015.05,16391.6,16015.05,16106.95,4941
2016-11-03 00:00:00+05:30,16138.0,16298.95,15624.05,15684.45,9051
2016-11-04 00:00:00+05:30,15800.0,15929.9,15505.5,15778.9,6484
2016-11-07 00:00:00+05:30,15778.0,16020.1,15710.35,15912.25,5565
2016-11-08 00:00:00+05:30,15912.25,16270.8,15800.0,15983.15,7982
2016-11-09 00:00:00+05:30,15500.0,16246.0,14900.0,16121.35,15611
2016-11-10 00:00:00+05:30,16203.3,16395.0,14830.0,14976.7,27268
2016-11-11 00:00:00+05:30,14940.0,14940.0,13500.0,14177.9,22460
2016-11-15 00:00:00+05:30,14000.5,14010.0,12770.0,13055.4,19987
2016-11-16 00:00:00+05:30,13010.1,13530.0,12412.5,13098.0,22834
2016-11-17 00:00:00+05:30,13000.05,13338.35,12600.0,13016.55,17533
2016-11-18 00:00:00+05:30,12907.15,13300.0,12794.45,13048.75,9309
2016-11-21 00:00:00+05:30,13179.2,13288.0,12633.0,12743.5,14514
2016-11-22 00:00:00+05:30,12625.0,12800.55,12453.2,12740.1,9270
2016-11-23 00:00:00+05:30,12800.0,12880.0,12605.4,12738.55,5905
2016-11-24 00:00:00+05:30,12798.9,12798.9,12387.35,12480.85,5760
2016-11-25 00:00:00+05:30,12549.0,12749.0,12388.0,12537.9,7976
2016-11-28 00:00:00+05:30,12600.0,13046.9,12475.45,12787.65,8562
2016-11-29 00:00:00+05:30,12931.8,12931.8,12650.0,12704.5,9967
2016-11-30 00:00:00+05:30,12700.0,13493.5,12700.0,13353.25,16779
2016-12-01 00:00:00+05:30,13400.15,13538.0,12912.05,13008.15,14590
2016-12-02 00:00:00+05:30,12878.4,13221.8,12717.0,12971.55,15934
2016-12-05 00:00:00+05:30,13070.0,13480.0,12910.5,13348.15,10097
2016-12-06 00:00:00+05:30,13481.0,13535.0,13165.05,13350.05,6753
2016-12-07 00:00:00+05:30,13397.0,13397.0,13000.0,13053.55,8240
2016-12-08 00:00:00+05:30,13174.15,13968.55,13075.05,13865.6,14629
2016-12-09 00:00:00+05:30,13951.0,13999.0,13450.0,13684.65,9452
2016-12-12 00:00:00+05:30,13690.0,13854.5,13400.0,13600.0,5508
2016-12-13 00:00:00+05:30,13736.0,13830.0,13456.0,13625.35,8637
2016-12-14 00:00:00+05:30,13600.0,13748.0,13450.0,13502.1,5600
2016-12-15 00:00:00+05:30,13449.95,13742.0,13359.1,13674.2,5239
2016-12-16 00:00:00+05:30,13699.0,14080.0,13631.5,13928.15,4805
2016-12-19 00:00:00+05:30,14070.0,14346.0,13770.05,13980.15,6842
2016-12-20 00:00:00+05:30,13950.0,13950.0,13250.0,13392.15,13774
2016-12-21 00:00:00+05:30,13526.05,13800.75,13360.5,13725.3,5802
2016-12-22 00:00:00+05:30,13621.0,13839.2,13315.0,13443.75,6097
2016-12-23 00:00:00+05:30,13439.9,13750.0,13275.0,13565.75,11872
2016-12-26 00:00:00+05:30,13600.0,13600.0,12852.1,12958.4,7673
2016-12-27 00:00:00+05:30,12845.0,13142.95,12810.0,12941.55,10502
2016-12-28 00:00:00+05:30,13009.9,13150.0,12880.0,12959.8,7065
2016-12-29 00:00:00+05:30,12930.0,13998.75,12811.0,13800.9,11924
2016-12-30 00:00:00+05:30,13760.0,13894.85,13365.4,13650.8,9502
2017-01-02 00:00:00+05:30,13787.3,14059.0,13375.0,13938.45,7481
2017-01-03 00:00:00+05:30,14075.0,14075.0,13661.0,13790.75,5574
2017-01-04 00:00:00+05:30,13909.0,13909.0,13752.5,13802.85,3653
2017-01-05 00:00:00+05:30,13890.0,14077.25,13780.2,13838.55,8883
2017-01-06 00:00:00+05:30,13920.85,14224.45,13652.1,13704.05,9451
2017-01-09 00:00:00+05:30,13899.85,14049.5,13650.0,13762.1,6522
2017-01-10 00:00:00+05:30,13851.7,14094.0,13710.05,13982.75,10306
2017-01-11 00:00:00+05:30,13906.0,14387.8,13822.8,14247.5,9189
2017-01-12 00:00:00+05:30,14385.7,14507.15,13900.0,14026.45,12185
2017-01-13 00:00:00+05:30,14050.0,14180.0,13825.25,14062.7,8424
2017-01-16 00:00:00+05:30,14050.0,14120.0,13821.05,14094.75,7767
2017-01-17 00:00:00+05:30,14056.1,14380.0,13954.15,14074.1,7033
2017-01-18 00:00:00+05:30,14071.2,14800.0,14014.65,14486.1,12187
2017-01-19 00:00:00+05:30,14450.0,14510.0,14310.2,14481.15,4520
2017-01-20 00:00:00+05:30,14350.0,14468.9,14100.0,14208.85,7634
2017-01-23 00:00:00+05:30,14275.0,14487.4,14010.0,14046.1,8071
2017-01-24 00:00:00+05:30,14168.0,14393.4,13914.95,14326.7,11401
2017-01-25 00:00:00+05:30,14326.7,14501.15,14206.35,14463.05,9852
2017-01-27 00:00:00+05:30,14421.0,14549.0,14369.0,14497.1,7632
2017-01-30 00:00:00+05:30,14501.0,14515.25,14301.0,14499.8,12299
2017-01-31 00:00:00+05:30,14450.0,14548.9,14226.6,14494.4,6462
2017-02-01 00:00:00+05:30,14483.75,14520.0,14112.0,14399.4,17760
2017-02-02 00:00:00+05:30,14399.4,14424.95,14212.1,14282.05,8683
2017-02-03 00:00:00+05:30,14210.3,14341.1,14151.0,14237.8,6015
2017-02-06 00:00:00+05:30,14238.85,14507.6,14180.05,14467.5,18312
2017-02-07 00:00:00+05:30,14501.0,14590.0,14230.05,14339.0,8517
2017-02-08 00:00:00+05:30,14355.0,14509.5,14307.0,14483.05,6182
2017-02-09 00:00:00+05:30,14500.0,14874.95,14020.1,14192.2,46712
2017-02-10 00:00:00+05:30,14200.0,14525.0,14200.0,14487.3,13594
2017-02-13 00:00:00+05:30,14480.0,14630.4,14250.05,14346.0,6878
2017-02-14 00:00:00+05:30,14343.95,14499.95,14301.0,14403.1,5308
2017-02-15 00:00:00+05:30,14403.1,14484.05,14100.0,14264.45,11126
2017-02-16 00:00:00+05:30,14260.0,14450.0,14130.05,14345.7,5766
2017-02-17 00:00:00+05:30,14345.7,14490.0,14264.9,14337.05,4302
2017-02-20 00:00:00+05:30,14300.0,14500.85,14300.0,14466.5,5774
2017-02-21 00:00:00+05:30,14425.0,14500.0,14301.0,14362.15,5978
2017-02-22 00:00:00+05:30,14362.45,14396.9,13710.1,13855.6,20424
2017-02-23 00:00:00+05:30,13860.0,14118.95,13812.3,14006.3,9777
2017-02-27 00:00:00+05:30,14050.0,14249.1,13752.1,14164.3,11117
2017-02-28 00:00:00+05:30,14229.0,14388.0,13960.0,14310.45,9484
2017-03-01 00:00:00+05:30,14311.05,14501.0,14076.8,14469.65,14965
2017-03-02 00:00:00+05:30,14479.0,14485.0,14254.0,14389.95,6040
2017-03-03 00:00:00+05:30,14400.0,14451.0,14150.65,14221.35,7175
2017-03-06 00:00:00+05:30,14200.0,14420.05,14200.0,14288.7,4259
2017-03-07 00:00:00+05:30,14300.05,14389.45,14173.25,14361.6,9958
2017-03-08 00:00:00+05:30,14382.0,14489.9,14202.0,14444.05,5441
2017-03-09 00:00:00+05:30,14310.0,14500.15,14310.0,14480.35,3949
2017-03-10 00:00:00+05:30,14417.15,14534.95,14221.55,14289.05,3732
2017-03-14 00:00:00+05:30,14469.0,14486.95,14250.0,14285.15,7016
2017-03-15 00:00:00+05:30,14298.0,15100.0,14214.6,14577.7,14930
2017-03-16 00:00:00+05:30,14500.0,14800.0,14451.3,14667.85,7560
2017-03-17 00:00:00+05:30,14670.0,14800.0,14588.5,14718.5,9763
2017-03-20 00:00:00+05:30,14798.0,14856.3,14581.1,14628.6,10080
2017-03-21 00:00:00+05:30,14685.0,14737.0,14525.0,14642.7,5206
2017-03-22 00:00:00+05:30,14515.0,14648.0,14475.0,14543.55,5815
2017-03-23 00:00:00+05:30,14685.0,14847.45,14512.2,14781.3,8372
2017-03-24 00:00:00+05:30,14800.0,14843.95,14620.0,14704.45,7798
2017-03-27 00:00:00+05:30,14721.05,14865.0,14520.15,14790.35,12499
2017-03-28 00:00:00+05:30,14650.0,14966.45,14650.0,14909.5,7560
2017-03-29 00:00:00+05:30,14927.0,14987.95,14737.15,14829.65,12045
2017-03-30 00:00:00+05:30,14890.0,14890.0,14641.6,14708.7,14091
2017-03-31 00:00:00+05:30,14708.0,14849.0,14512.0,14620.8,11183
2017-04-03 00:00:00+05:30,14650.0,14750.0,14447.0,14579.25,20174
2017-04-05 00:00:00+05:30,14679.0,14719.9,14507.65,14613.7,9926
2017-04-06 00:00:00+05:30,14560.0,14680.0,14400.0,14457.1,7829
2017-04-07 00:00:00+05:30,14381.0,14601.25,14301.0,14313.65,9887
2017-04-10 00:00:00+05:30,14300.0,14398.6,14055.55,14099.75,22399
2017-04-11 00:00:00+05:30,14140.0,14289.5,14000.0,14243.05,8912
2017-04-12 00:00:00+05:30,14195.0,14399.0,14081.1,14145.9,7605
2017-04-13 00:00:00+05:30,14244.9,14244.9,14002.75,14052.6,4683
2017-04-17 00:00:00+05:30,14044.0,14224.9,13781.0,13844.25,11684
2017-04-18 00:00:00+05:30,13772.0,14035.0,13680.0,13772.2,8755
2017-04-19 00:00:00+05:30,13775.0,14175.0,13680.0,14061.7,9758
2017-04-20 00:00:00+05:30,14174.4,14340.0,13951.0,14058.1,13204
2017-04-21 00:00:00+05:30,14056.0,14219.8,13882.1,13951.8,11027
2017-04-24 00:00:00+05:30,14009.5,14050.0,13825.1,13890.35,4683
2017-04-25 00:00:00+05:30,13949.95,14200.0,13910.0,14141.2,8405
2017-04-26 00:00:00+05:30,14222.0,14497.45,14099.55,14276.45,9817
2017-04-27 00:00:00+05:30,14230.0,14475.0,14155.6,14247.7,5765
2017-04-28 00:00:00+05:30,14247.7,14601.0,14157.0,14535.15,6470
2017-05-02 00:00:00+05:30,14535.15,14939.4,14449.7,14792.8,10897
2017-05-03 00:00:00+05:30,14820.3,14889.0,14705.0,14833.35,15050
2017-05-04 00:00:00+05:30,14847.0,14919.0,14410.55,14489.65,11327
2017-05-05 00:00:00+05:30,14487.65,14533.65,14215.0,14264.05,4051
2017-05-08 00:00:00+05:30,14320.0,14499.0,14225.0,14473.1,2937
2017-05-09 00:00:00+05:30,14400.5,14549.0,14400.5,14506.55,2363
2017-05-10 00:00:00+05:30,14498.0,14875.0,14458.1,14790.2,7716
2017-05-11 00:00:00+05:30,14784.85,14928.0,14700.05,14781.7,5144
2017-05-12 00:00:00+05:30,14855.0,15100.0,14755.0,14930.55,6180
2017-05-15 00:00:00+05:30,15100.0,15499.0,15099.95,15425.4,12677
2017-05-16 00:00:00+05:30,15520.0,15644.95,14965.9,15098.2,13989
2017-05-17 00:00:00+05:30,15169.95,15300.0,15000.0,15077.05,6204
2017-05-18 00:00:00+05:30,15050.0,15129.55,14562.05,14669.6,7191
2017-05-19 00:00:00+05:30,14776.2,14898.0,14501.0,14621.2,7704
2017-05-22 00:00:00+05:30,14619.1,15198.2,14110.05,14254.15,16176
2017-05-23 00:00:00+05:30,14250.0,14500.0,13841.45,14413.2,10483
2017-05-24 00:00:00+05:30,14400.45,14535.7,14000.05,14130.4,5825
2017-05-25 00:00:00+05:30,14159.8,14420.0,14040.0,14276.9,19070
2017-05-26 00:00:00+05:30,14299.0,14410.0,14125.2,14380.5,7356
2017-05-29 00:00:00+05:30,14407.95,14500.0,14200.0,14310.6,4260
2017-05-30 00:00:00+05:30,14428.8,14428.8,14110.0,14319.1,4664
2017-05-31 00:00:00+05:30,14249.0,14419.95,14226.9,14369.3,5065
2017-06-01 00:00:00+05:30,14301.0,14476.7,14220.95,14267.3,3183
2017-06-02 00:00:00+05:30,14267.3,14474.95,14180.05,14281.45,5671
2017-06-05 00:00:00+05:30,15299.0,15299.0,14223.1,14482.55,87550
2017-06-06 00:00:00+05:30,14520.0,15350.5,14416.95,14937.55,98046
2017-06-07 00:00:00+05:30,15007.55,15040.0,14678.65,14925.7,121063
2017-06-08 00:00:00+05:30,14998.0,15900.0,14850.0,15609.4,40698
2017-06-09 00:00:00+05:30,15719.0,16700.0,15515.5,16242.55,28546
2017-06-12 00:00:00+05:30,16230.0,16599.0,16020.0,16363.65,14938
2017-06-13 00:00:00+05:30,16380.15,16510.05,15872.75,16009.9,18874
2017-06-14 00:00:00+05:30,15937.6,17190.0,15651.05,16555.15,22736
2017-06-15 00:00:00+05:30,16389.0,16920.0,16224.05,16804.9,33682
2017-06-16 00:00:00+05:30,16670.0,16824.0,16417.65,16637.15,20541
2017-06-19 00:00:00+05:30,16635.0,16965.8,16572.75,16734.4,12532
2017-06-20 00:00:00+05:30,16799.95,16799.95,16250.0,16368.35,12429
2017-06-21 00:00:00+05:30,16375.0,16599.95,15851.0,16394.75,14914
2017-06-22 00:00:00+05:30,16402.2,17147.0,16402.2,16561.0,25844
2017-06-23 00:00:00+05:30,16630.0,16726.6,16161.05,16340.2,15015
2017-06-27 00:00:00+05:30,16280.5,16579.95,15900.0,16317.1,10041
2017-06-28 00:00:00+05:30,16255.5,17060.4,16166.85,16689.15,24696
2017-06-29 00:00:00+05:30,16600.0,16712.3,16151.0,16245.05,12519
2017-06-30 00:00:00+05:30,16199.9,16829.95,16044.75,16736.75,14853
2017-07-03 00:00:00+05:30,16675.0,17529.9,16601.0,17448.45,18056
2017-07-04 00:00:00+05:30,17523.5,17949.4,17335.0,17439.3,25401
2017-07-05 00:00:00+05:30,17534.95,18000.0,17475.05,17782.15,48778
2017-07-06 00:00:00+05:30,17989.0,18092.5,17251.5,17431.0,25301
2017-07-07 00:00:00+05:30,17419.95,17490.55,16830.1,16891.65,20864
2017-07-10 00:00:00+05:30,16850.0,17066.3,16550.0,16637.05,3590
2017-07-11 00:00:00+05:30,16724.9,16968.0,16240.0,16421.25,23546
2017-07-12 00:00:00+05:30,16560.1,16688.9,16360.0,16632.55,16701
2017-07-13 00:00:00+05:30,16630.0,16870.0,16500.5,16814.1,13990
2017-07-14 00:00:00+05:30,16746.05,17030.05,16603.35,16953.1,10341
2017-07-17 00:00:00+05:30,16989.0,17051.85,16817.35,16978.45,9626
2017-07-18 00:00:00+05:30,16900.0,16978.0,16630.65,16809.15,8941
2017-07-19 00:00:00+05:30,16915.0,17000.0,16737.6,16866.2,10492
2017-07-20 00:00:00+05:30,16850.0,16974.95,16763.7,16800.55,6592
2017-07-21 00:00:00+05:30,16830.0,16904.9,16556.35,16792.2,7889
2017-07-24 00:00:00+05:30,16792.2,16855.8,16551.05,16711.1,6988
2017-07-25 00:00:00+05:30,16750.0,16939.95,16640.05,16726.1,7378
2017-07-26 00:00:00+05:30,16737.6,16900.0,16601.0,16774.05,5402
2017-07-27 00:00:00+05:30,16775.0,16899.8,16503.75,16672.2,7956
2017-07-28 00:00:00+05:30,16675.0,16710.05,16451.0,16500.75,7446
2017-07-31 00:00:00+05:30,16567.6,16575.95,16103.3,16378.45,41874
2017-08-01 00:00:00+05:30,16220.5,17236.0,16220.5,17132.8,15879
2017-08-02 00:00:00+05:30,17133.0,17233.05,16790.4,16936.8,7962
2017-08-03 00:00:00+05:30,16939.95,16959.25,16265.0,16380.7,18144
2017-08-04 00:00:00+05:30,16495.95,16548.75,16251.0,16375.2,8289
2017-08-07 00:00:00+05:30,16437.6,16650.0,16368.5,16426.4,4183
2017-08-08 00:00:00+05:30,16524.95,16524.95,16205.0,16244.15,8025
2017-08-09 00:00:00+05:30,16237.6,16795.0,15861.05,16706.4,31319
2017-08-10 00:00:00+05:30,16529.35,17150.0,15982.25,16204.05,28045
2017-08-11 00:00:00+05:30,16201.0,16211.0,15116.2,15869.15,16108
2017-08-14 00:00:00+05:30,16000.0,16925.0,15926.7,16687.65,16990
2017-08-16 00:00:00+05:30,16669.65,17100.0,16599.95,17071.35,11120
2017-08-17 00:00:00+05:30,17071.35,17298.95,16750.0,16886.3,9629
2017-08-18 00:00:00+05:30,16850.0,17199.0,16565.1,17110.2,9161
2017-08-21 00:00:00+05:30,17080.0,17237.9,16914.65,17015.25,6696
2017-08-22 00:00:00+05:30,17000.0,17390.0,17000.0,17214.4,13474
2017-08-23 00:00:00+05:30,17339.0,17489.95,16800.0,17203.1,18059
2017-08-24 00:00:00+05:30,17110.0,17424.0,17110.0,17196.8,24209
2017-08-28 00:00:00+05:30,17209.0,17450.0,17170.5,17411.0,10735
2017-08-29 00:00:00+05:30,17302.0,17389.85,17100.05,17319.5,11104
2017-08-30 00:00:00+05:30,17350.0,17651.0,17280.05,17578.0,8056
2017-08-31 00:00:00+05:30,17650.0,17912.4,17560.15,17748.35,14641
2017-09-01 00:00:00+05:30,17659.0,17999.0,17648.8,17989.75,8770
2017-09-04 00:00:00+05:30,18000.0,18250.0,17758.65,18134.05,10529
2017-09-05 00:00:00+05:30,18185.0,18451.0,18150.0,18369.3,13365
2017-09-06 00:00:00+05:30,18230.1,18470.85,18120.05,18242.0,7588
2017-09-07 00:00:00+05:30,18490.0,18490.0,18250.0,18390.25,6670
2017-09-08 00:00:00+05:30,18390.25,18693.0,18346.55,18630.4,9404
2017-09-11 00:00:00+05:30,18800.0,18936.75,18509.0,18626.65,14978
2017-09-12 00:00:00+05:30,18710.0,18950.0,18601.1,18667.65,8229
2017-09-13 00:00:00+05:30,18784.9,18850.0,18544.55,18607.25,4991
2017-09-14 00:00:00+05:30,18738.35,18925.0,18556.05,18846.3,5221
2017-09-15 00:00:00+05:30,18664.9,18915.0,18515.05,18876.6,7391
2017-09-18 00:00:00+05:30,18803.0,19550.0,18752.0,19386.0,33120
2017-09-19 00:00:00+05:30,19135.0,19500.0,19135.0,19448.65,6983
2017-09-20 00:00:00+05:30,19265.05,19575.0,18901.55,18988.05,10161
2017-09-21 00:00:00+05:30,19139.9,19348.9,18811.0,19224.9,19291
2017-09-22 00:00:00+05:30,19026.0,19379.95,18837.3,19087.45,14018
2017-09-25 00:00:00+05:30,19087.0,19102.4,18365.15,18502.3,23482
2017-09-26 00:00:00+05:30,18509.9,19218.5,18301.0,18878.75,11463
2017-09-27 00:00:00+05:30,18770.0,19007.75,18425.1,18523.9,10175
2017-11-16 00:00:00+05:30,23123.0,24690.55,23020.0,24144.95,67036
2017-11-17 00:00:00+05:30,24200.0,24479.85,23210.1,23446.9,34516
2017-11-20 00:00:00+05:30,23397.6,23529.45,22850.0,23041.0,13732
2017-11-21 00:00:00+05:30,23123.0,23348.9,23027.55,23115.35,10906
2017-11-22 00:00:00+05:30,23299.9,23299.9,22409.75,22514.15,13479
2017-11-23 00:00:00+05:30,22648.0,22651.4,22010.0,22268.15,13142
2017-11-24 00:00:00+05:30,22300.0,22848.05,22300.0,22579.7,12547
2017-11-27 00:00:00+05:30,22415.0,23209.1,22298.9,23160.05,9956
2017-11-28 00:00:00+05:30,23180.0,23559.0,22860.0,23052.45,11713
2017-11-29 00:00:00+05:30,23200.0,23288.95,22403.85,22587.15,16094
2017-11-30 00:00:00+05:30,22589.0,22864.85,22228.7,22349.4,12931
2017-12-01 00:00:00+05:30,22500.0,22645.0,21760.8,21866.95,9170
2017-12-04 00:00:00+05:30,22000.0,22238.85,21451.0,21579.8,14640
2017-12-05 00:00:00+05:30,21559.2,21699.5,21251.0,21432.95,10410
2017-12-06 00:00:00+05:30,21401.0,22252.95,21323.05,22128.35,11843
2017-12-07 00:00:00+05:30,21951.0,22700.0,21829.55,22587.95,17480
2017-12-08 00:00:00+05:30,22689.0,22860.0,22180.1,22440.05,12516
2017-12-11 00:00:00+05:30,22400.0,23176.9,22226.95,23065.3,15043
2017-12-12 00:00:00+05:30,22999.9,23085.6,22520.0,22645.8,9244
2017-12-13 00:00:00+05:30,22750.0,22942.0,22216.9,22377.35,15554
